                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6313,                 166.68,                0.98213,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00052,                0.00052,                0.00052
                      2,                  4.001,                 27.251,                 1.0455,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0010495,              0.0010495,              0.0010495
                      3,                 3.6124,                 3.6299,                 1.0011,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0015683,              0.0015683,              0.0015683
                      4,                  3.862,                 3.5732,                 1.0301,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                      5,                 3.5399,                  2.559,                 0.9743,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0019208,              0.0019208,              0.0019208
                      6,                 3.6848,                 2.5961,                0.99162,                      0,                      0,                      0,                      0,                0.15749,                0.17188,                0.04231,               0.001901,               0.001901,               0.001901
                      7,                 3.2217,                 2.3302,                0.95599,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                      8,                  3.426,                 2.2711,                0.96202,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0018614,              0.0018614,              0.0018614
                      9,                 3.2051,                 2.0931,                0.92643,                      0,                      0,                      0,                      0,                      0,                0.05745,                      0,              0.0018416,              0.0018416,              0.0018416
                     10,                  3.259,                 2.3558,                0.93834,                0.07692,                0.07921,                0.05814,                0.01697,                 3.0065,                 2.2707,                0.71259,              0.0018218,              0.0018218,              0.0018218
                     11,                 3.1596,                 2.1016,                0.91651,                0.25501,                0.14851,                0.08324,                0.02197,                 2.9588,                 2.6551,                0.81113,               0.001802,               0.001802,               0.001802
                     12,                 3.1785,                 2.1203,                  0.912,                 0.5975,                0.16176,                0.23487,                0.06155,                 2.8415,                 2.9462,                0.75004,              0.0017822,              0.0017822,              0.0017822
                     13,                 3.0908,                  2.183,                0.90457,                0.49419,                0.30693,                 0.2144,                0.03754,                 2.9828,                 2.4697,                0.76355,              0.0017624,              0.0017624,              0.0017624
                     14,                 3.0881,                  1.907,                0.91981,                0.60387,                0.38614,                0.38565,                0.10199,                 2.3462,                 2.5388,                0.72128,              0.0017426,              0.0017426,              0.0017426
                     15,                 3.2567,                 1.9838,                0.91485,                0.55801,                0.32673,                0.34137,                0.09291,                 2.6486,                 2.2089,                0.76252,              0.0017228,              0.0017228,              0.0017228
                     16,                 3.0692,                 2.0284,                0.90577,                0.61371,                0.37624,                0.35834,                0.11588,                 2.4194,                 1.7664,                0.75754,               0.001703,               0.001703,               0.001703
                     17,                 2.9725,                 1.8268,                0.88594,                0.39336,                0.30177,                0.26771,                 0.0836,                 2.5813,                 2.0093,                0.74664,              0.0016832,              0.0016832,              0.0016832
                     18,                 3.0902,                 1.9949,                0.90113,                 0.5424,                0.28713,                 0.3039,                0.09763,                 2.5999,                  1.904,                 0.7859,              0.0016634,              0.0016634,              0.0016634
                     19,                 3.0435,                 2.0219,                0.88867,                0.48431,                0.27723,                0.23696,                0.05713,                 2.6179,                 2.0532,                0.73216,              0.0016436,              0.0016436,              0.0016436
                     20,                 3.0689,                 1.9746,                0.90471,                0.42116,                0.29703,                0.22232,                0.03778,                  2.982,                 2.3276,                0.79487,              0.0016238,              0.0016238,              0.0016238
                     21,                  2.918,                 1.8113,                0.89092,                0.62427,                0.40594,                0.41956,                0.14528,                 2.5565,                 2.1182,                0.84026,               0.001604,               0.001604,               0.001604
                     22,                 2.8777,                  1.644,                0.89543,                0.59972,                0.43564,                0.41996,                0.11713,                 2.6138,                 1.7654,                0.82095,              0.0015842,              0.0015842,              0.0015842
                     23,                  2.795,                 1.6671,                0.88094,                0.57105,                0.38614,                0.40847,                0.10755,                 2.5163,                 1.6956,                0.78936,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.9742,                 1.8623,                0.87985,                0.44913,                0.36634,                 0.3383,                0.09498,                 2.7813,                 1.8094,                0.81759,              0.0015446,              0.0015446,              0.0015446
                     25,                 3.0545,                 1.8953,                0.90658,                0.43208,                0.31683,                0.22266,                0.05714,                 2.5556,                 1.7137,                0.79563,              0.0015248,              0.0015248,              0.0015248
                     26,                  2.981,                 1.8352,                0.88399,                0.43858,                0.34036,                0.26609,                0.08005,                 2.7637,                 1.6814,                0.79127,               0.001505,               0.001505,               0.001505
                     27,                 2.8974,                 1.8633,                0.88298,                0.87358,                0.20533,                0.41103,                0.09195,                 2.7452,                  2.123,                0.80614,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.8499,                 1.6604,                0.89861,                0.64539,                0.42574,                0.43651,                 0.1179,                 2.4594,                 1.6618,                0.80546,              0.0014654,              0.0014654,              0.0014654
                     29,                 2.9839,                 1.6462,                 0.9052,                0.70029,                0.37624,                0.46653,                0.13476,                 2.6549,                 1.7316,                0.82308,              0.0014456,              0.0014456,              0.0014456
                     30,                 2.7466,                 1.7084,                0.89205,                0.43649,                0.32673,                0.30082,                0.07578,                 2.8109,                 1.8594,                0.82797,              0.0014258,              0.0014258,              0.0014258
                     31,                 2.7762,                 1.6885,                0.89097,                0.60502,                0.34886,                0.36333,                0.10703,                 2.6119,                 1.4572,                0.77818,               0.001406,               0.001406,               0.001406
                     32,                 2.7069,                 1.6311,                0.85735,                 0.6953,                0.41584,                0.44224,                 0.1306,                 2.2491,                 1.9172,                0.76643,              0.0013862,              0.0013862,              0.0013862
                     33,                 2.6702,                 1.5925,                0.86206,                0.74891,                0.44299,                0.46587,                0.11034,                 2.5445,                 1.7481,                0.79704,              0.0013664,              0.0013664,              0.0013664
                     34,                 2.6753,                 1.5448,                0.86812,                0.67591,                0.38614,                0.44754,                0.16327,                 2.3211,                 1.5321,                0.80449,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.7009,                 1.4769,                0.86413,                0.76527,                0.38737,                0.49576,                0.18619,                 2.2508,                 1.5537,                0.79486,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.6791,                 1.4924,                0.85575,                0.69433,                0.43564,                0.49591,                0.14783,                  2.501,                 1.4296,                0.79674,               0.001307,               0.001307,               0.001307
                     37,                 2.7135,                 1.5335,                0.87257,                0.64513,                0.43202,                0.45347,                0.13333,                 2.3973,                 1.3591,                0.76555,              0.0012872,              0.0012872,              0.0012872
